Price,Rating,city,Owner,Fuel_Type,Transmission,RTO,Insurance,Insurance_Type,Company,Model,Kilometres_travelled,year,month
300000.0,3.6,3686,First ,petrol,manual,RTOAP29,7/2/2021,Comp,maruti,wagon r 1.0 vxi,33967.0,2013,1
145000.0,4,3686,First ,petrol,manual,RTOAP09,11/8/2021,Comp,hyundai,santro xing xl erlx euro iii,44515.0,2007,4
165000.0,4,3686,Second ,petrol,manual,RTOHR29,,Expired,maruti,alto lxi,44975.0,2011,3
180000.0,3.4,3686,Second ,petrol,manual,RTOAP11,,Expired,maruti,swift vxi 1.3,66803.0,2006,3
450000.0,4.1,3686,Second ,petrol,,RTOTS08,,Expired,hyundai,new santro 1.1 magna amt,5482.0,2019,6
450000.0,4.4,3686,First ,petrol,manual,RTOTS07,30/10/2021,Third_party,hyundai,grand i10 sports 1.2 vtvt,42261.0,2015,2
180000.0,3.9,3686,First ,petrol,manual,RTOAP09,,Expired,maruti,wagon r lxi,28739.0,2007,5
218500.0,4.2,3686,First ,petrol + lpg,manual,RTOAP29,,Expired,hyundai,santro xing gls lpg,18552.0,2011,11
205000.0,3.8,3686,First ,petrol,manual,RTOAP09,,Expired,hyundai,i10 magna 1.1 irde2,72315.0,2008,1
110000.0,4.2,3686,Third ,petrol,manual,RTOAP09,,Expired,chevrolet,spark ps 1.0,50293.0,2008,3
460000.0,3.7,3686,Second ,diesel,manual,RTOAP10,,Expired,hyundai,verna fluidic 1.6 sx crdi opt,52535.0,2014,2
70000.0,3.7,3686,Fourth ,petrol,manual,RTOUP16,24/2/2021,Comp,maruti,swift vxi,66671.0,2006,8
320000.0,4.6,3686,First ,petrol,manual,RTOTS07,,Expired,datsun,go plus t,18976.0,2015,3
200000.0,4,3686,First ,petrol,manual,RTOTS07,21/5/2021,Comp,hyundai,i10 magna 1.1 irde2,49819.0,2008,3
400000.0,4.6,3686,First ,petrol,manual,RTOKA05,12/6/2021,ZeroDepreciation,honda,jazz 1.2 e mt ,19467.0,2016,5
175000.0,3.5,3686,Second ,diesel,manual,RTOAP28,,Expired,hyundai,verna vgt crdi 1.5,94028.0,2007,1
370621.0,4.2,3686,First ,petrol,manual,RTOTS09,,Expired,maruti,wagon r 1.0 vxi,1.0,2016,12
279000.0,4.4,3686,First ,petrol,manual,RTOKA03,,Expired,hyundai,i10 sportz 1.2 kappa2,29260.0,2011,4
370000.0,4.5,3686,Second ,diesel,manual,RTOTS10,19/7/2021,Comp,renault,pulse rxl abs d,15735.0,2015,7
65000.0,3.8,3686,Second ,petrol,manual,RTOAP28,,Expired,maruti,800 ac,80634.0,2006,10
195000.0,3.9,3686,Third ,petrol,manual,RTOAP29,,Expired,maruti,alto k10 vxi ,30971.0,2012,11
280000.0,4.5,3686,First ,petrol,manual,RTODL8C,4/9/2021,Zero_Dep,renault,kwid rxt,23792.0,2016,6
180000.0,4.2,3686,First ,petrol,manual,RTOAP29,22/1/2021,3rdParty,maruti,alto lxi,37766.0,2011,7
350000.0,4.5,3686,First ,petrol,,RTOTS09,,Expired,renault,kwid rxt 1.0 easy-r  at,29655.0,2016,11
658260.0,4.8,3686,First ,petrol,manual,RTOTS07,30/11/2020,Expired,honda,amaze 1.2 smt i vtec,12826.0,2019,6
515000.0,4.7,3686,First ,petrol,automatic,RTOTS07,28/8/2021,Comprehensive,maruti,ignis delta 1.2 k12 amt,14758.0,2018,8
220000.0,3.2,3686,Second ,diesel,manual,RTOAP09,,Expired,maruti,swift vdi,45803.0,2007,1
520000.0,4.7,3686,First ,petrol,,RTOTS08,26/8/2021,ZeroDepreciation,hyundai,new santro sportz 1.1,2543.0,2019,4
240000.0,4.5,3686,First ,petrol,manual,RTOTS11,,Expired,maruti,alto 800 lxi,12952.0,2014,1
550000.0,4.6,3686,First ,petrol,manual,RTOTS10,6/1/2022,Zero_Dep,maruti,swift dzire vxi 1.2 bs iv,11150.0,2015,11
